レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
映画での町興しを御構想なさったのは、先生でございますね。,映画での町興しを構想なさったのは、先生だそうですね。,映画での町興しを構想されたのは、先生だそうですね。,映画での町興しを考えたのは、先生なんだって。,アイデア,工夫
それは素晴らしい御着眼でございますね。,それは素晴らしいご着眼ですね。,それは素晴らしい着眼ですね。,それはすごいところに目を付けたね。,アイデア,工夫
人の気が付かないところに御着眼なさるのは、素晴らしいと存じます。,人の気がつかない所に着眼なさるのは、さすがですね。,人の気が付かないところに着眼するのは、さすがですね。,人の気付かないところに目を向けるのはさすがだね。,アイデア,工夫
この一局は、勝負所の御着想が素晴らしいと存じます。,この一局は、勝負所のご着想が素晴らしいのです。,この一局は、勝負所の着想が素晴らしいです。,この一局は、勝負所がすごいね。,アイデア,工夫
そんな斬新な御着想なさるのは、貴殿しかいらっしゃいません。,そんな斬新な着想なさるのは、あなたの他にいませんよ。,そんな斬新な着想なさるのは、あなたの他にいませんよ。,そんな斬新な事を考えるのは、君しかいないね。,アイデア,工夫
貴殿はいつも素晴らしい御発想をお持ちで、感銘致します。,あなたはいつもユニークな発想をなさるから、驚きです。,あなたはいつもユニークな発想をされるから驚きです。,君はいつもユニークな考えを持ってるからビックリするよ。,アイデア,工夫
土に溶ける新物質を御発明されたと存じます。,土に溶ける新物質を発明なさったそうですね。,土に溶ける新物質を発明されたそうですね。,土に溶ける新物質を発明したんだってね。,アイデア,工夫
近々、またお目にかからせて頂きます。,近々、またお会いしましょう。,近々、またお会いしましょう。,近いうちに、また会おうね。,会う,
宜しければ、本日中にお目にかからせて頂けませんでしょうか？,ぜひとも、本日中にお会いしたいのですが。,是非、本日中にお会いしたいのですが。,よければ、今日会える？,会う,
次にお目にかかる日を楽しみにしております。,次にお会いできる日を楽しみにしております。,次にお会いできる日を楽しみにしております。,また会えるのを楽しみにしてるね。,会う,
またいつでも、お目にかかれます。,またいつでも、お会いになれますよ。,またいつでも、お会いになれますよ。,また、いつでも会えるよ。,会う,
御子息にお会いできる日が待ち遠しい事と存じます。,息子さんに会われる日が待ち遠しいですね。,息子さんにお会いできる日が待ち遠しいですね。,息子に会える日が待ち遠しいね。,会う,
あれ以来、長い事お目にかかっておりません。,あれ以来、長いことお目にかかってませんね。,あれ以来、長い事お目にかかっていませんね。,ずっと見てないね。,会う,
翌日、御挨拶に伺います。堅苦しい御挨拶は結構でございます。,明日、ご挨拶に伺います。 堅苦しいご挨拶は抜きにしましょう。,明日、御挨拶に伺います。堅苦しい御挨拶は結構です。,明日、あいさつに行くね。気楽に会おう。,会う,
それでは、会長が一言、御挨拶申し上げます。,それでは、会長が一言、ご挨拶申しあげます。,それでは、会長が一言、御挨拶させて頂きます。,じゃ、会長から挨拶するね。,会う,
先生に、御挨拶なさいましたか？,先生に、ご挨拶なさいましたか？,先生に、御挨拶しましたか？,先生に挨拶した？,会う,
あちら様が会釈なさってますが、お知り合いでございますか？,あちら様が会釈なさってますが、お知り合いですか？,あちら様が会釈されてますが、お知り合いですか？,あの人が会釈してるけど、知ってる人？,会う,
今貴殿にお辞儀なさった方は、どなたでございますか？,今あなたにお辞儀なさった方は、どなたですか？,今あなたにお辞儀をした方は、どなたですか？,今君にお辞儀をした人は、誰？,会う,
十年ぶりの御再会でございますか？,十年ぶりのご再会なんですって？,十年ぶりの再会なんですって？,十年ぶりに会ったの？,会う,
三社祭りで偶然に御再会されたのでございますか？,三社祭りで偶然に再会なさったんですか？,三社祭りで偶然に再会されたのですか？,三社祭りでばったり会ったの？,会う,
今回が初めての御対面でございますか？,今回が初めてのご対面ですか？,今回が初めての御対面ですか？,今回初めて会ったの？,会う,
十年越しの宿敵と御対面なさった御感想は？,十年越しの宿敵と対面なさったご感想は？,十年越しの宿敵と対面された御感想は？,十年越しの宿敵と会ってどうだった？,会う,
お初にお目にかかります。,お初にお目にかかります。,初めてお会いします。,初対面だね。,会う,初対面
初めてお目にかかります、西方と申します。,初めまして、西方と申します。,初めまして、西方と言います。,どーも、西方です。,会う,初対面
お目にかかる事ができ光栄でございます。,お目にかかれて光栄です。,お会いできて光栄です。,会えて嬉しいよ。,会う,初対面
先生には、以前お目にかかった事がございます。,先生には、以 お目にかかったことがあります。,先生には、以前お会いした事があります。,先生には、前会ったよ。,会う,初対面
いつも、御電話ばかりで大変恐縮です。,いつも、お電話ばかりで失礼しております。,いつも、御電話ばかりで失礼します。,いつも、電話ばかりでごめんね。,会う,初対面
御噂は、かねがね伺っておりました。,お噂は、かねがね伺っておりました。,御噂は、今まで伺っていました。,噂は前から聞いてたよ。,会う,初対面
申し遅れましたが、叔父の坂本と申します。,申し遅れましたが、叔父の坂本と申します。,遅れましたが、叔父の坂本です。,遅れたけど、叔父の坂本だ。,会う,初対面
御挨拶が後回しになりまして、大変恐縮です。,ご挨拶が後回しになりまして、失礼いたしました。,御挨拶が後回しになりまして、失礼しました。,挨拶が遅れてごめんね。,会う,初対面
御名刺を頂戴できますでしょうか？,お名刺を頂戴できますか？,御名刺を戴けますか？,名刺ある？,会う,初対面
大変貴重な御名前でいらっしゃいますね、何とお読みすれば宜しいでしょうか？,珍しいお名前ですね、何とお読みするのですか？,珍しい御名前ですね、何とお読みするのですか？,珍しい名前だね、なんて読むの？,会う,初対面
今後とも、宜しくお願い申し上げます。,今後とも、よろしくお願いいたします。,今後とも、宜しくお願いします。,これからよろしくね。,会う,初対面
どうぞ、以後お見知り置きを、お願い申し上げます。,どうぞ、以後お見知り置きを、お願いいたします。,どうぞ、以後お見知り置きを、お願いします。,これから仲良くしてね。,会う,初対面
今後ともお付き合いの程、宜しくお願い申し上げます。,今後ともお付き合いのほど、よろしくお願いいたします。,今後ともお付き合いの程、宜しくお願いします。,これからも仲良くやっていこうね。,会う,初対面
貴重な御縁を、宜しくお願い申し上げます。,これをご縁に、よろしくお願いいたします。,これを御縁に、宜しくお願いします。,この縁をよろしくね。,会う,初対面
ようやく大使にお目通りが叶いました。,ようやく大使にお目通りが叶いました。,ようやく大使に会う事ができました。,やっと大使に会えた。,会う,初対面
実は、貴殿にお会いになって頂きたい方がおります。,実は、あなたにお会わせしたい人がいるのよ。,実は、あなたに会ってもらいたい人がいます。,実は、君に会って欲しい人がいる。,会う,紹介する
御二人が御会いになられるのは、お初でございますか？,お二人が顔をお合わせになるのは、初めてですか？,御二人が顔を合わせるのは、初めてですか？,2人が会うのは初めて？,会う,紹介する
宜しければ私に婿様のお手伝いをさせて頂けませんでしょうか？,私がお婿さんんを、お世話しましょうか。,良ければ私がお婿さんの、お手伝いをしますか？,婿さんの手伝いしようか？,会う,紹介する
貴殿の御仲介のおかげで、お目にかかる事ができました。,あなたのご仲介のおかげで、お会することができました。,あなたの御仲介のおかげで、お会いする事ができました。,君のおかげで会う事ができたよ。,会う,紹介する
いつぞやお話させて頂いた館長殿に、御引き合わせ存じます。,いつぞやお話しした館長さんに、お引き合わせしましょう。,前にお話しした館長さんに、御引き合わせしましょう。,前に話した館長に会わせてあげるよ。,会う,紹介する
どうぞ、お引き回し下さいませ。存分に、お引き回し下さいませ。,よろしく、お引き回しください。 存分に、お引き回しください。,どうぞ、お引き回し下さい。存分にお引き回し下さい。,まわしていいよ。いっぱいまわしていーよ。,会う,紹介する
お見合いも二十回目となると、退屈なさる事でしょう？,お見合いも二十回目となると、飽きるでしょ？,お見合いも二十回目となると、飽きますか？,お見合いも二十回目だと、退屈でしょ？,会う,紹介する
よく写っていらっしゃいます、お見合い写真になさったらいかがでしょうか？,よく写ってるわ、お見合い写真になさったら？,よく写ってます、お見合い写真にいかがですか？,よく写ってるからお見合い写真にどう？,会う,紹介する
私、先日御紹介いただいた西方と申し上げます。,私、先日ご紹介いただいた西方と申す者です。,私、先日御紹介いただいた西方です。,私は前に紹介してもらった西方だ。,会う,紹介する
さようでございますか、そちらの道のエキスパートを御紹介致します。,それでしたら、その道のエキスパートをご紹介しましょう。,それでしたら、その道のエキスパートを御紹介します。,それだったら、詳しい人を教えてあげる。,会う,紹介する
人を御紹介なさる時は、よくお考えになった方が宜しいかと存じます。,人を紹介なさる時は、よくお考えになった方がいいですよ。,人を紹介する時は、よくお考えになった方がいいと思います。,人を紹介する時は、考えてからの方がいいよ。,会う,紹介する
大変光栄です、一度お目にかかりたいと思っておりました。,まあ、嬉しい、 一度ぜひお会いしたいと思っておりました。,まあ、嬉しいです。一度ぜひお会いしたいと思っていました。,嬉しい、1回会いたいと思っていたんだ。,会う,紹介する
近々、お目にかかりたいと存じます。（手紙文）,近々、お目にかかりたいと存じます。（手紙文）,近々、お目にかかりたいです。（手紙文）,近いうちに、会いたいと思っている。,会う,紹介する
奥方様に御目文字を賜りたく存じます。（手紙文）,奥方様にお目文字を賜りたいのですが 。（手紙文）,奥方様にお会いしたいと思っております。（手紙文）,奥方様に会いたい。（手紙文）,会う,紹介する
ぜひ一度、奥様の御尊顔を拝したいと存じます。（手紙文）,ぜひ一度、奥様のご尊顔を拝したいと存じます。（手紙文）,ぜひ一度、奥様のお顔を拝見させて頂きたいです。（手紙文）,今度、奥さんの顔を見せて。（手紙文）,会う,紹介する
,,,,,
,,,,,
まあ、ふくよかで可愛い赤ちゃんでいらっしゃいますね。,まあ、可愛い赤ちゃんね、ぽっちやりしてて。,まあ、ぽっちゃりして可愛い赤ちゃんですね。,まあ、ぽっちゃりして可愛い赤ちゃんだね。,赤ちゃん,お産
お食い初めに、お父様をお呼びになったらいかがでしょうか？,お食い初めに、お父様をお呼びになったら？,お食い初めに、お父さんを呼んでみたらどうですか？,お食い初めに、お父さんを呼んでみたらどうかな？,赤ちゃん,お産
ご出産のお祝いに、おくるみをお贈りさせていただきます。,出産祝いに、おくるみをお贈りするわね。,出産祝いに、おくるみを贈らせてもらうね。,出産祝いに、おくるみを贈るね。,赤ちゃん,お産
何事もなく、お七夜をお迎えすることができました。,何事もなく、お七夜を迎えることができました。,何事もなく、お七夜を迎えました。,何事もなく、お七夜を迎えられた。,赤ちゃん,お産
赤ちゃんが、おしゃぶりを落とされたようですよ。,赤ちゃんが、おしやぶりを落としましたよ。,赤ちゃんが、おしゃぶりを落としましたよ。,赤ちゃんが、おしゃぶりを落としたよ。,赤ちゃん,お産
まあ、玉のような赤ちゃんでいらっしゃいますね。,まあ、玉のような赤ちゃんですこと。,まあ、玉のようなあかちゃんですね。,まあ、玉のような赤ちゃんだね。,赤ちゃん,お産
三人もお産みになっておられるので、赤ちゃんのあやし方がお上手でいらっしゃいますね。,三人もお産みになってるから、赤ちゃんのあやし方がお上手ね。,三人も産んでるから、赤ちゃんのあやし方が上手ですね。,三人も産んでるから、赤ちゃんのあやし方が上手だね。,赤ちゃん,お産
お産がお軽く済まれたようで、よろしかったですね。,良かったですね、お産が軽く済んで。,お産が軽く済んで、よかったですね。,お産が軽く済んで、よかったね。,赤ちゃん,お産
娘様が、おめでたでいらっしゃるそうですね。,娘さん、おめでただそうですね。,娘さん、おめでたなんですね。,娘さん、おめでただそうだね。,赤ちゃん,お産
ご安産でいらしたそうで、よろしかったです。,ご安産だったそうで、良かったわね。,安産だったそうで、よかったですね。,安産だったそうで、良かったね。,赤ちゃん,お産
ご出産おめでとうございます。初めてのお子様でいらしたそうですね。,ご出産おめでとう、初めてのお子さんだそうで。,出産おめでとう。初めての子どもだそうですね。,出産おめでとう。初めての子どもだそうだね。,赤ちゃん,お産
ご予定日より、かなりお早くご出産なされたのですね？,予定日より、かなり早く出産なさったんですって？,予定日より、かなり早く出産したんですって？,予定日より、かなり早く出産したんだって？,赤ちゃん,お産
奥様のお産にお立会いされて、いががでしたでしょうか？,奥様のお産に立ち会われて、 いかがでした？,奥さんのお産に立ち会って、どうでしたか？,奥さんのお産に立ち会って、どうだった？,赤ちゃん,お産
もしかして、妊娠なさっておられるのではないでしょうか？,もしかして、妊娠なさってるんじやありませんか？,もしかして、妊娠しているんじゃないですか？,もしかして、妊娠しているんじゃない？,赤ちゃん,お産
念願のお子様をお宿しになられたそうですね。,念願のお子さんを宿されたそうですね。,念願の子どもを宿したんですね。,念願のこどもを宿したんだね。,赤ちゃん,お産
たまには羽目をはずされて、お遊びになられることも必要であると思われます。,たまには羽目をはずして、お遊びになることも必要だと思います。,たまには羽目をはずして、遊ぶことも必要だと思います。,たまには羽目をはずして、遊ぶことも必要だと思う。,遊ぶ,
社長様は応接室で、ご一局お囲みになられていらっしゃいます。,社長は応接室で、 一局お囲みになっていらっしやいます。,社長は応接室で、一局囲んでいます。,社長は応接室で、一局囲んでいるよ。,遊ぶ,
旦那様は小猫とお戯れになられておられます。,旦那様は小猫とお戯れになっています。,旦那様は小猫と戯れています。,旦那様は小猫と戯れているよ。,遊ぶ,
部長様、ご一局お手合わせいただけませんでしょうか？,部長、 一局お手合わせ願えませんでしょうか。,部長、一局手合わせ願えますか？,部長、一局手合わせ願えるかな？,遊ぶ,
先輩、どうぞお手柔らかにお願い申し上げます。,先輩、お手柔らかにお願いします。,先輩、お手柔らかにお願い。,先輩、お手柔らかにお願いするね。,遊ぶ,
総長様のお道楽にも困っております。,総長のお道楽にも困ったもんです。,総長の道楽にも困っています。,総長の道楽にも困ってるよ。,遊ぶ,
あなた様のお出番でございます。カードをおめくりになられていただけますでしょうか。,あなたの番よ、カードをおめくりになってください。,あなたの番です。カードをめくってください。,あなたの番だよ、カードをめくってね。,遊ぶ,
先輩、ご一手ご指南、お願い申し上げます。,先輩、 一手ご指南、お願いします。,先輩、一手ご指南、お願いね。,先輩、一手ご指南、お願い。,遊ぶ,
ご一勝ご一敗、こちらでお相子にいたしましょう。,一勝一敗、これでお相子にしましょう。,一勝一敗、これで相子にしましょう。,一勝一敗、これで相子にしよう。,遊ぶ,
私はお医者さんごっこなどは、致しませんでした。,私はお医者さんごっこなんて、しませんでしたよ。,私はお医者さんごっこなんか、してませんよ。,私はお医者さんごっこは、しなかったよ。,遊ぶ,
お馬様には、いつも遊ばれております。,お馬さんには、 いつも遊ばれています。,お馬には、いつも遊ばれています。,お馬には、いつも遊ばれてるよ。,遊ぶ,
いいかげんに、お茶屋さんのお遊びをおやめになられたらいかがでしょうか。,いいかげんに、お茶屋さん遊びをおやめになったらいかがですか。,いいかげんに、お茶屋の遊びをやめたらどうですか。,いいかげんに、お茶屋の遊びをやめたらどうかな。,遊ぶ,
おばあさまは、お手玉がお上手でいらっしゃるのですよ。,おばあちやんは、お手玉が上手なんですよ。,おばあちゃんは、お手玉が上手なんですよ。,おばあちゃんは、お手玉が上手なんだよ。,遊ぶ,
かるたでは、お手付きはだめでございますよ。,かるたでは、お手付きはだめですよ。,かるたでは、お手付きはだめですよ。,かるたでは、お手付きはだめだよ。,遊ぶ,
姉たちのおはじきのじゃまを致しまして、よく怒られましたものでございます。,姉たちのおはじきのじやまをして、よく怒られたものです。,姉たちのおはじきのじゃまをして、よく怒られましよ。,姉たちのおはじきのじゃまをして、よく怒られたよ。,遊ぶ,
まあ、シャツが絞れるほど汗をおかきになっておられます。,まあ、シャツが絞れるほど汗をおかきになって。,まあ、シャツが絞れるほど汗をかいてますよ。,まあ、シャツが絞れるほど、汗をかいてるよ。,季節,寒い・暑い
ずいぶん、汗をおかきになられるのですね。ご体質でいらっしゃいますか？,ずいぶん、汗をかかれるのですね。ご体質ですか？,ずいぶん、汗をかくんですね。体質ですか？,ずいぶん、汗をかくんだね。体質かな？,季節,寒い・暑い
お暑うございます。一雨いただきたいですね。本日もお暑うございますね。,お暑うございます。 一雨欲しいですね。 今日もお暑いですね。,暑いです。一雨ほしいです。今日も暑いです。,暑いよ。一雨ほしいね。今日も暑い。,季節,寒い・暑い
お暑いですね。こちらでお涼みになられるとよいかと思います。,暑いわね、こちらでお涼みになるといいわ。,暑いね。こっちで涼むといいですよ。,暑いね。こっちで涼むといいよ。,季節,寒い・暑い
先生は、お庭の東屋で涼まれるのがお好きでいらっしゃいました。,先生は、庭の東屋で涼まれるのがお好きでした。,先生は、庭の東屋で涼むのが好きでした。,先生は、庭の東屋で涼むのが好きだったよ。,季節,寒い・暑い
お寒い夜は、湯たんぽでお温もりになられるのが一番でございます。,寒い夜は、湯たんぽでお温もりになるのが一番です。,寒い夜は、湯たんぽで温もるのが一番です。,寒い夜は、湯たんぽで温もるのが一番だよ。,季節,寒い・暑い
本日は冷えますので、温泉でゆっくり温まれると良いと思われますよ。,今日は冷えるから、温泉でゆっくり温まられるといいですよ。,今日は冷えるから、温泉で温まるといいですよ。,今日は冷えるから、温泉でゆっくり温まるといいよ。,季節,寒い・暑い
南極で越冬なされるのでしょうか、それは大変なお仕事でいらっしゃいますね。,南極で越冬なさるんですか、それは大変なお仕事ですね。,南極で越冬するの、それは大変な仕事ですね。,南極で越冬するの、それは大変な仕事だね。,季節,寒い・暑い
本日はお寒いので、カイロをおいれになってはいかがでしょうか？,今日は寒いから、カイロをお入れになったら？,今日は寒いから、カイロを入れたらどうですか？,今日は寒いから、カイロを入れたらどうかな？,季節,寒い・暑い
冬のラグビーのご観戦には、お膝におくるみになる物をお忘れになりませんように。,冬のラグビーの観戦には、膝をおくるみになる物をお忘れなく。,冬のラグビー観戦には、膝におくるみになる物を忘れないでね。,冬のラグビー観戦には、膝におくるみになる物を忘れないで。,季節,寒い・暑い
お寒くございませんでしょうか。お寒うございますね。雪になりそうでございますね。,お寒くありませんか お寒うございます。雪になりそうですね。,寒くないですか？寒いね。雪になりそうですね。,寒くない？寒いね。雪になりそうだね。,季節,寒い・暑い
お濡れになられますから、傘をお持ちになってください。,お濡れになりますから、傘をお持ちください。,濡れるから、傘を持って行ってね。,濡れるから、傘を持って行って。,季節,寒い・暑い
雨に濡れられて、お冷えになられたのではございませんか？,雨に濡れて、お冷えになったんじゃありませんか？,雨に濡れて、冷えたんじゃないですか？,雨に濡れて、冷えたんじゃない？,季節,寒い・暑い
おこたに入られて、おみかんでもいただきましょう。,おこたに入って、みかんでも食べましょう。,おこたに入って、みかんでもたべませんか。,おこたに入って、みかんでも食べよう。,季節,寒い・暑い
お火鉢を跨がれるなんて、お行儀がよろしくないと思われますよ。,お火鉢を跨ぐなんて、お行儀が悪いですよ。,火鉢を跨ぐなんて、行儀が悪いですね。,火鉢を跨ぐなんて、行儀が悪いよ。,季節,寒い・暑い
ご一族がご一堂に会されるのは、久々でいらっしゃるそうですね。,ご一族が一堂に会されるのは、久々だそうですね。,一族が一堂に会するのは、久々ですね。,一族が一堂に会するのは、久々だね。,集まる,集める
次のお集りの時に、ご細目をお知らせさせていただきます。,次のお集まりの時に、細目をお知らせいたします。,次の集まりの時に、詳細なことを知らせます。,次の集まりの時に、細かい部分を知らせるね。,集まる,集める
皆様、あちらでお集りになられておられます。,皆様、あちらでお集まりになっておいでです。,皆、あっちで集まってます。,皆、あっちで集まってるよ。,集まる,集める
皆様、お揃いになられましたでしょうか。お揃いになられるまでお待ちいたしましょう。,皆さんお揃いになりましたか。お揃いになるまで待ちましょう。,皆、揃ってますか？揃うまで待ちましょう。,皆、揃ったかな？揃うまで待っていよう。,集まる,集める
シャンソンのお好きな方々が、お集いになられるそうですよ。,シャンソンの好きな人たちが、お集いになるそうですよ。,シャンソンが好きな人たちが、集うそうですよ。,シャンソンが好きな人たちが、集うそうだよ。,集まる,集める
記念日には、ご創業時のメンバー様が集われるご予定でございます。,記念日には、創業時のメンバーが集われる予定です。,記念日には、創業時のメンバーが集う予定です。,記念日には、創業時のメンバーが集う予定だよ。,集まる,集める
グループのご結成十周年とお伺いいたしました。早いものでございます。,グループご結成十 周年と伺いました、早いものですね。,グループの結成十周年と聞きました。早いね。,グループの結成十周年と聞いたよ。早いね。,集まる,集める
また新たにチームをご結成なさるのでしょうか、それは楽しみでございます。,また新たにチームを結成なさるんですか、それは楽しみですね。,また新たにチームを結成するんですか、それは楽しみだね。,また新たにチームを結成するの？それは楽しみだね。,集まる,集める
新人歓迎会に、どうぞご参集くださいますようお願い申し上げます。,新人歓迎会に、どうぞご参集ください。,新人歓迎会にどうぞ参集してください。,新人歓迎会に、どうぞ参集してね。,集まる,集める
ご集合のお時間をお忘れになられませんようにお願い申し上げます。,ご集合の時間をお忘れにならないようにお願いいたします。,集合の時間を忘れないようにお願いしますね。,集合の時間を忘れないようにお願いね。,集まる,集める
八重洲口の銀の鈴にご集合なさっていただきますようお願いいたします。,八重洲口の銀の鈴に集合なさってください。,八重洲口の銀の鈴に集合してくださいね。,八重洲口の銀の鈴に集合してね。,集まる,集める
次のお集りからは、お料理はお持ちよりにいたしましょう。,次の集まりからは、お料理はお持ちよりにしましょう。,次の集まりからは、料理は持ちよりにしましょう。,次の集まりからは、料理は持ちよりにしよう。,集まる,集める
ご必要なメンバーは、私がお集め致しましょう。,必要なメンバ は、私がお集めしましょう。,必要なメンバーは、私が集めましょう。,必要なメンバーは、私が集めよう。,集まる,集める
これだけのワインをお揃えになるのは、大変でございましたでしょう。,これだけのワインをお揃えになるのは、大変だったでしょう。,これだけのワインを揃えるのは、大変だったですね。,これだけのワインを揃えるのは、大変だったね。,集まる,集める
連句のお仲間を、お募りになっておられるのでしょうか？,連句のお仲間を、お募りになっているのですか？,連句の仲間を、募っているのですか？,連句の仲間を、募っているの？,集まる,集める
